
shoulder dislocation	[]	shoulder dislocation	Same	{'Same- Token Exists in English Vocabulary [shoulder]', 'Same- Token Exists in English Vocabulary [dislocation]'}
acid reflulux	["[('reflux', 0.9), ('reflux]', 0.9), ('reflux:', 0.9), ('reflux/', 0.9)]"]	acid reflux	Changed	{'Same- Token Exists in English Vocabulary [acid]', 'Corrected - Using MultiEdit Probable Candidates [reflulux ==> reflux]'}
excema	["[('eczema', 0.9), ('extrema', 0.9), ('exempta', 0.9), ('excreta', 0.9)]"]	eczema	Changed	{'Corrected - Using MultiEdit Probable Candidates [excema ==> eczema]'}
varicella	[]	varicella	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [varicella]'}
vomiting	[]	vomiting	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [vomiting]'}
netropenia	["[('neutropenia', 2.3103047291937807e-05)]"]	neutropenia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [netropenia ==> neutropenia]'}
pulmonary hypertension	[]	pulmonary hypertension	Same	{'Same- Token Exists in English Vocabulary [hypertension]', 'Same- Token Exists in English Vocabulary [pulmonary]'}
gastroenteritis	[]	gastroenteritis	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [gastroenteritis]'}
nausea and vomitng	["[('vomiting', 1.9455197719526575e-05)]"]	nausea and vomiting	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [vomitng ==> vomiting]', 'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [nausea]'}
impetaigo	["[('impetigo', 9.727598859763288e-06)]"]	impetigo	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [impetaigo ==> impetigo]'}
poor appetite	[]	poor appetite	Same	{'Same- Token Exists in English Vocabulary [appetite]', 'Same- Token Exists in English Vocabulary [poor]'}
chest colds	[]	chest colds	Same	{'Same- Token Exists in English Vocabulary [chest]', 'Same- Token Exists in English Vocabulary [colds]'}
anexity	["[('anxiety', 0.9), ('anxiety]', 0.9), ('anxiety\\\\', 0.9), ('anxiety?', 0.9)]"]	anxiety	Changed	{'Corrected - Using MultiEdit Probable Candidates [anexity ==> anxiety]'}
whooping cough	[]	whooping cough	Same	{'Same- Token Exists in English Vocabulary [cough]', 'Same- Token Exists in English Vocabulary [whooping]'}
fluoride	[]	fluoride	Same	{'Same- Token Exists in English Vocabulary [fluoride]'}
dengue fever	[]	dengue fever	Same	{'Same- Token Exists in English Vocabulary [dengue]', 'Same- Token Exists in English Vocabulary [fever]'}
fifth disease	[]	fifth disease	Same	{'Same- Token Exists in English Vocabulary [disease]', 'Same- Token Exists in English Vocabulary [fifth]'}
anaesthetic	[]	anaesthetic	Same	{'Same- Token Exists in English Vocabulary [anaesthetic]'}
vulvovaginits	["[('vulvovaginitis', 1.013291547892009e-05)]"]	vulvovaginitis	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [vulvovaginits ==> vulvovaginitis]'}
helicobacter pylori infection	[]	helicobacter pylori infection	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [pylori]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [helicobacter]', 'Same- Token Exists in English Vocabulary [infection]'}
fractured ankle	[]	fractured ankle	Same	{'Same- Token Exists in English Vocabulary [fractured]', 'Same- Token Exists in English Vocabulary [ankle]'}
consttpation	["[('constipation', 9.322282240606483e-06)]"]	constipation	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [consttpation ==> constipation]'}
post operative pain	[]	post operative pain	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [post]', 'Same- Token Exists in English Vocabulary [operative]'}
not applicable	[]	not applicable	Same	{'Same- Token Exists in English Vocabulary [not]', 'Same- Token Exists in English Vocabulary [applicable]'}
gas	[]	gas	Same	{'Same- Token Exists in English Vocabulary [gas]'}
ear	[]	ear	Same	{'Same- Token Exists in English Vocabulary [ear]'}
rash	[]	rash	Same	{'Same- Token Exists in English Vocabulary [rash]'}
possible seizers	['[]']	possible seizures	Changed	{'Corrected- Using Customized Lookup-Table [seizers ==> seizures]', 'Same- Token Exists in English Vocabulary [possible]'}
hayfever symptoms	[]	hayfever symptoms	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [hayfever]', 'Same- Token Exists in English Vocabulary [symptoms]'}
pain with kidney stones	[]	pain with kidney stones	Same	{'Same- Token Exists in English Vocabulary [kidney]', 'Same- Token Exists in English Vocabulary [with]', 'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [stones]'}
coughing and wheezing	[]	coughing and wheezing	Same	{'Same- Token Exists in English Vocabulary [coughing]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [wheezing]', 'Same- Token Exists in English Vocabulary [and]'}
stomach upset	[]	stomach upset	Same	{'Same- Token Exists in English Vocabulary [stomach]', 'Same- Token Exists in English Vocabulary [upset]'}
body rash	[]	body rash	Same	{'Same- Token Exists in English Vocabulary [rash]', 'Same- Token Exists in English Vocabulary [body]'}
continuous cough	[]	continuous cough	Same	{'Same- Token Exists in English Vocabulary [cough]', 'Same- Token Exists in English Vocabulary [continuous]'}
prevent thrush	[]	prevent thrush	Same	{'Same- Token Exists in English Vocabulary [thrush]', 'Same- Token Exists in English Vocabulary [prevent]'}
infection of incision from surgery	[]	infection of incision from surgery	Same	{'Same- Token Exists in English Vocabulary [incision]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [of]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [surgery]'}
wheeze with cold	[]	wheeze with cold	Same	{'Same- Token Exists in English Vocabulary [with]', 'Same- Token Exists in English Vocabulary [wheeze]', 'Same- Token Exists in English Vocabulary [cold]'}
stomach acid	[]	stomach acid	Same	{'Same- Token Exists in English Vocabulary [stomach]', 'Same- Token Exists in English Vocabulary [acid]'}
growing pains in legs	[]	growing pains in legs	Same	{'Same- Token Exists in English Vocabulary [in]', 'Same- Token Exists in English Vocabulary [legs]', 'Same- Token Exists in English Vocabulary [pains]', 'Same- Token Exists in English Vocabulary [growing]'}
sores from hand foot and mouth disease	[]	sores from hand foot and mouth disease	Same	{'Same- Token Exists in English Vocabulary [mouth]', 'Same- Token Exists in English Vocabulary [sores]', 'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [foot]', 'Same- Token Exists in English Vocabulary [disease]', 'Same- Token Exists in English Vocabulary [hand]'}
breast infection	[]	breast infection	Same	{'Same- Token Exists in English Vocabulary [breast]', 'Same- Token Exists in English Vocabulary [infection]'}
