
carediolgy	["[('cardiology', 0.9), ('cardiology]', 0.9), ('cardiology\\\\', 0.9), ('cardiology;', 0.9)]"]	cardiology	Changed	{'Corrected - Using MultiEdit Probable Candidates [carediolgy ==> cardiology]'}
lugns	["[('lungs', 3.242532953254429e-06)]"]	lungs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [lugns ==> lungs]'}
lugns	["[('lungs', 3.242532953254429e-06)]"]	lungs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [lugns ==> lungs]'}
lugns	["[('lungs', 3.242532953254429e-06)]"]	lungs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [lugns ==> lungs]'}
lugns	["[('lungs', 3.242532953254429e-06)]"]	lungs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [lugns ==> lungs]'}
lugns	["[('lungs', 3.242532953254429e-06)]"]	lungs	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [lugns ==> lungs]'}
ecchinocytes	["[('tenocytes', 0.9), ('meiocytes', 0.9), ('ionocytes', 0.9), ('schizocytes.', 0.9)]"]	tenocytes	Changed	{'Corrected - Using MultiEdit Probable Candidates [ecchinocytes ==> tenocytes]'}
procuedure	["[('procedure', 0.00014712993275391972)]"]	procedure	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [procuedure ==> procedure]'}
procuedure	["[('procedure', 0.00014712993275391972)]"]	procedure	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [procuedure ==> procedure]'}
avening	["[('evening', 4.0531661915680364e-07)]"]	evening	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [avening ==> evening]'}
avening	["[('evening', 4.0531661915680364e-07)]"]	evening	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [avening ==> evening]'}
avening	["[('evening', 4.0531661915680364e-07)]"]	evening	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [avening ==> evening]'}
enteracept	["[('intercept', 0.9), ('enterface', 0.9), ('interfacet', 0.9), ('intercepts', 0.9)]"]	intercept	Changed	{'Corrected - Using MultiEdit Probable Candidates [enteracept ==> intercept]'}
enteracept	["[('intercept', 0.9), ('enterface', 0.9), ('interfacet', 0.9), ('intercepts', 0.9)]"]	intercept	Changed	{'Corrected - Using MultiEdit Probable Candidates [enteracept ==> intercept]'}
enteracept	["[('intercept', 0.9), ('enterface', 0.9), ('interfacet', 0.9), ('intercepts', 0.9)]"]	intercept	Changed	{'Corrected - Using MultiEdit Probable Candidates [enteracept ==> intercept]'}
hepaotology	["[('hepatology', 0.9), ('hepatology]', 0.9), ('hepatology.', 0.9), ('hepatology,', 0.9)]"]	hepatology	Changed	{'Corrected - Using MultiEdit Probable Candidates [hepaotology ==> hepatology]'}
precipirtouskly	["[('precipitously', 0.9), ('precipitously.', 0.9), ('precipitous', 0.9), ('precipitous)', 0.9)]"]	precipitously	Changed	{'Corrected - Using MultiEdit Probable Candidates [precipirtouskly ==> precipitously]'}
trachiotomy	["[('tracheotomy', 8.7921363132814e-06)]"]	tracheotomy	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [trachiotomy ==> tracheotomy]'}
