
helps control prolog contractions	["[('prolong', 1.1722848417708535e-05)]"]	helps control prolong contractions	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [prolog ==> prolong]', 'Same- Token Exists in English Vocabulary [helps]', 'Same- Token Exists in English Vocabulary [contractions]', 'Same- Token Exists in English Vocabulary [control]'}
discomfort possible	[]	discomfort possible	Same	{'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [possible]'}
caps put on molars	[]	caps put on molars	Same	{'Same- Token Exists in English Vocabulary [put]', 'Same- Token Exists in English Vocabulary [caps]', 'Same- Token Exists in English Vocabulary [molars]', 'Same- Token Exists in English Vocabulary [on]'}
gastro illness	[]	gastro illness	Same	{'Same- Token Exists in English Vocabulary [illness]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [gastro]'}
narcolepsy	[]	narcolepsy	Same	{'Same- Token Exists in English Vocabulary [narcolepsy]'}
anal pain	[]	anal pain	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [anal]'}
discomfort from vaccation	["[('vacation', 3.223783314869847e-05)]"]	discomfort from vacation	Changed	{'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [discomfort]', 'Corrected - Using Single-Edit Probable Candidates in English Corpus [vaccation ==> vacation]'}
severe back	[]	severe back	Same	{'Same- Token Exists in English Vocabulary [severe]', 'Same- Token Exists in English Vocabulary [back]'}
to help cervix stayed closed	["[('stated', 6.890382525665661e-06), ('staged', 4.0531661915680364e-07)]"]	to help cervix stated closed	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [stayed ==> stated]', 'Same- Token Exists in English Vocabulary [cervix]', 'Same- Token Exists in English Vocabulary [closed]', 'Same- Token Exists in English Vocabulary [help]', 'Same- Token Exists in English Vocabulary [to]'}
clod symptoms	[]	clod symptoms	Same	{'Same- Token Exists in English Vocabulary [symptoms]', 'Same- Token Exists in English Vocabulary [clod]'}
coarctation repair	[]	coarctation repair	Same	{'Same- Token Exists in English Vocabulary [repair]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [coarctation]'}
warts	[]	warts	Same	{'Same- Token Exists in English Vocabulary [warts]'}
antacid	[]	antacid	Same	{'Same- Token Exists in English Vocabulary [antacid]'}
induction and augmentation of labour	[]	induction and augmentation of labour	Same	{'Same- Token Exists in English Vocabulary [augmentation]', 'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [of]', 'Same- Token Exists in English Vocabulary [labour]', 'Same- Token Exists in English Vocabulary [induction]'}
ulcer	[]	ulcer	Same	{'Same- Token Exists in English Vocabulary [ulcer]'}
after c-section it was prescribed	[]	after c-section it was prescribed	Same	{'Same- Token Exists in English Vocabulary [was]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [prescribed]', 'Same- Token Exists in English Vocabulary [c-section]', 'Same- Token Exists in English Vocabulary [after]', 'Same- Token Exists in English Vocabulary [it]'}
yeast infection on breasts	[]	yeast infection on breasts	Same	{'Same- Token Exists in English Vocabulary [yeast]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [breasts]'}
endometritis from group b streptococcus positive	[]	endometritis from group b streptococcus positive	Same	{'Same- Token Exists in English Vocabulary [b]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [group]', 'Same- Token Exists in English Vocabulary [positive]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [endometritis]', 'Same- Token Exists in English Vocabulary [streptococcus]'}
moraxella catarrhalis haemophilus influenzae	[]	moraxella catarrhalis haemophilus influenzae	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [influenzae]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [catarrhalis]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [haemophilus]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [moraxella]'}
motility	[]	motility	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [motility]'}
maintain pregnancy	[]	maintain pregnancy	Same	{'Same- Token Exists in English Vocabulary [pregnancy]', 'Same- Token Exists in English Vocabulary [maintain]'}
wound on toes	[]	wound on toes	Same	{'Same- Token Exists in English Vocabulary [wound]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [toes]'}
swollen joints	[]	swollen joints	Same	{'Same- Token Exists in English Vocabulary [swollen]', 'Same- Token Exists in English Vocabulary [joints]'}
herpes simplex	[]	herpes simplex	Same	{'Same- Token Exists in English Vocabulary [simplex]', 'Same- Token Exists in English Vocabulary [herpes]'}
prevent blood incompatability	["[('incompatibility', 2.3913680530251414e-05)]"]	prevent blood incompatibility	Changed	{'Same- Token Exists in English Vocabulary [prevent]', 'Same- Token Exists in English Vocabulary [blood]', 'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [incompatability ==> incompatibility]'}
pueumonia	["[('pneumonia', 0.00014145550008572445)]"]	pneumonia	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pueumonia ==> pneumonia]'}
mosquito bites	[]	mosquito bites	Same	{'Same- Token Exists in English Vocabulary [mosquito]', 'Same- Token Exists in English Vocabulary [bites]'}
anaesthetic	[]	anaesthetic	Same	{'Same- Token Exists in English Vocabulary [anaesthetic]'}
severe cough	[]	severe cough	Same	{'Same- Token Exists in English Vocabulary [cough]', 'Same- Token Exists in English Vocabulary [severe]'}
influenza type a	[]	influenza type a	Same	{'Same- Token Exists in English Vocabulary [a]', 'Same- Token Exists in English Vocabulary [type]', 'Same- Token Exists in English Vocabulary [influenza]'}
hypothroidism	["[('hypothyroidism', 3.0804063055917074e-05), ('hypothryoidism', 8.106332383136073e-07)]"]	hypothyroidism	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hypothroidism ==> hypothyroidism]'}
anexity	["[('anxiety', 0.9), ('anxiety]', 0.9), ('anxiety\\\\', 0.9), ('anxiety?', 0.9)]"]	anxiety	Changed	{'Corrected - Using MultiEdit Probable Candidates [anexity ==> anxiety]'}
given before allergy test	[]	given before allergy test	Same	{'Same- Token Exists in English Vocabulary [given]', 'Same- Token Exists in English Vocabulary [before]', 'Same- Token Exists in English Vocabulary [test]', 'Same- Token Exists in English Vocabulary [allergy]'}
prevent yeast infection	[]	prevent yeast infection	Same	{'Same- Token Exists in English Vocabulary [prevent]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [yeast]'}
traveling to india	[]	traveling to india	Same	{'Same- Token Exists in English Vocabulary [traveling]', 'Same- Token Exists in English Vocabulary [india]', 'Same- Token Exists in English Vocabulary [to]'}
knee injury	[]	knee injury	Same	{'Same- Token Exists in English Vocabulary [injury]', 'Same- Token Exists in English Vocabulary [knee]'}
pain control post surgery	[]	pain control post surgery	Same	{'Same- Token Exists in English Vocabulary [control]', 'Same- Token Exists in English Vocabulary [post]', 'Same- Token Exists in English Vocabulary [surgery]', 'Same- Token Exists in English Vocabulary [pain]'}
frequent spitting up and vomiting	[]	frequent spitting up and vomiting	Same	{'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [up]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [vomiting]', 'Same- Token Exists in English Vocabulary [spitting]', 'Same- Token Exists in English Vocabulary [frequent]'}
dycrhymia	['[]']	dysthymia	Changed	{'Corrected- Using Customized Lookup-Table [dycrhymia ==> dysthymia]'}
fever from immunizations or from infection	[]	fever from immunizations or from infection	Same	{'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [or]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [immunizations]', 'Same- Token Exists in English Vocabulary [fever]'}
discomfort with skin rash	[]	discomfort with skin rash	Same	{'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [with]', 'Same- Token Exists in English Vocabulary [skin]', 'Same- Token Exists in English Vocabulary [rash]'}
to reduce fever	[]	to reduce fever	Same	{'Same- Token Exists in English Vocabulary [fever]', 'Same- Token Exists in English Vocabulary [reduce]', 'Same- Token Exists in English Vocabulary [to]'}
superficial thrombophebitis	["[('thrombophlebitis', 3.972102867736676e-05)]"]	superficial thrombophlebitis	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [thrombophebitis ==> thrombophlebitis]', 'Same- Token Exists in English Vocabulary [superficial]'}
mucolytic	[]	mucolytic	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [mucolytic]'}
fluoride	[]	fluoride	Same	{'Same- Token Exists in English Vocabulary [fluoride]'}
prevenative dad had pinworms	["[('preventive', 4.0531661915680364e-07)]"]	preventive dad had pinworms	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [prevenative ==> preventive]', 'Same- Token Exists in English Vocabulary [dad]', 'Same- Token Exists in English Vocabulary [had]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [pinworms]'}
periobital cellulitis	["[('periorbital', 5.674432668195251e-06)]"]	periorbital cellulitis	Changed	{'Same- Token Exists in Domain-Specific Terminological-Corpus [cellulitis]', 'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [periobital ==> periorbital]'}
recommended by reproductive endocrinologist	[]	recommended by reproductive endocrinologist	Same	{'Same- Token Exists in English Vocabulary [recommended]', 'Same- Token Exists in English Vocabulary [by]', 'Same- Token Exists in English Vocabulary [endocrinologist]', 'Same- Token Exists in English Vocabulary [reproductive]'}
vaginal thrust	[]	vaginal thrust	Same	{'Same- Token Exists in English Vocabulary [vaginal]', 'Same- Token Exists in English Vocabulary [thrust]'}
cold symtptoms	["[('symptoms', 6.64719255417158e-05)]"]	cold symptoms	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [symtptoms ==> symptoms]', 'Same- Token Exists in English Vocabulary [cold]'}
soft tissue injury	[]	soft tissue injury	Same	{'Same- Token Exists in English Vocabulary [injury]', 'Same- Token Exists in English Vocabulary [soft]', 'Same- Token Exists in English Vocabulary [tissue]'}
foot pain	[]	foot pain	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [foot]'}
h1n1 prophylaxis	[]	h1n1 prophylaxis	Same	{'Same- Token Exists in English Vocabulary [prophylaxis]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [h1n1]'}
wrist rash	[]	wrist rash	Same	{'Same- Token Exists in English Vocabulary [rash]', 'Same- Token Exists in English Vocabulary [wrist]'}
infection on penis	[]	infection on penis	Same	{'Same- Token Exists in English Vocabulary [penis]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [infection]'}
herpes outbreak	[]	herpes outbreak	Same	{'Same- Token Exists in English Vocabulary [herpes]', 'Same- Token Exists in English Vocabulary [outbreak]'}
eczema behind left ear	[]	eczema behind left ear	Same	{'Same- Token Exists in English Vocabulary [eczema]', 'Same- Token Exists in English Vocabulary [left]', 'Same- Token Exists in English Vocabulary [ear]', 'Same- Token Exists in English Vocabulary [behind]'}
allergic reactioin	["[('reaction', 0.0001224056189853547)]"]	allergic reaction	Changed	{'Same- Token Exists in English Vocabulary [allergic]', 'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [reactioin ==> reaction]'}
discomfort from herniated disk	[]	discomfort from herniated disk	Same	{'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [disk]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [herniated]'}
analogue immuno suppressive	[]	analogue immuno suppressive	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [immuno]', 'Same- Token Exists in English Vocabulary [analogue]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [suppressive]'}
low grade fever	[]	low grade fever	Same	{'Same- Token Exists in English Vocabulary [fever]', 'Same- Token Exists in English Vocabulary [grade]', 'Same- Token Exists in English Vocabulary [low]'}
fertility treatment	[]	fertility treatment	Same	{'Same- Token Exists in English Vocabulary [fertility]', 'Same- Token Exists in English Vocabulary [treatment]'}
umbilical granuloma	[]	umbilical granuloma	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [granuloma]', 'Same- Token Exists in English Vocabulary [umbilical]'}
cramp	[]	cramp	Same	{'Same- Token Exists in English Vocabulary [cramp]'}
staph infection on face	[]	staph infection on face	Same	{'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [staph]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [face]'}
gingiviomatatis	["[('gingivostomatitis', 0.9), ('gingivitis', 0.9), ('gingivostomatitis.', 0.9), ('gingivostomatitis,', 0.9)]"]	gingivostomatitis	Changed	{'Corrected - Using MultiEdit Probable Candidates [gingiviomatatis ==> gingivostomatitis]'}
skin warts	[]	skin warts	Same	{'Same- Token Exists in English Vocabulary [skin]', 'Same- Token Exists in English Vocabulary [warts]'}
infertility	[]	infertility	Same	{'Same- Token Exists in English Vocabulary [infertility]'}
mom has group b streptoccoous positive baby sick with wbc	["[('streptococcous', 0.9), ('streptoccoccus', 0.9), ('streptococcus', 0.9), ('streptococcus<', 0.9)]"]	mom has group b streptococcous positive baby sick with wbc	Changed	{'Same- Token Exists in English Vocabulary [b]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [wbc]', 'Same- Token Exists in English Vocabulary [with]', 'Corrected - Using MultiEdit Probable Candidates [streptoccoous ==> streptococcous]', 'Same- Token Exists in English Vocabulary [group]', 'Same- Token Exists in English Vocabulary [has]', 'Same- Token Exists in English Vocabulary [sick]', 'Same- Token Exists in English Vocabulary [positive]', 'Same- Token Exists in English Vocabulary [baby]', 'Same- Token Exists in English Vocabulary [mom]'}
decongestion while flying	[]	decongestion while flying	Same	{'Same- Token Exists in English Vocabulary [flying]', 'Same- Token Exists in English Vocabulary [while]', 'Same- Token Exists in Domain-Specific Terminological-Corpus [decongestion]'}
pain due to shingles	[]	pain due to shingles	Same	{'Same- Token Exists in English Vocabulary [due]', 'Same- Token Exists in English Vocabulary [shingles]', 'Same- Token Exists in English Vocabulary [to]', 'Same- Token Exists in English Vocabulary [pain]'}
