coronavirus disease 2019
severe acute respiratory
acute respiratory syndrome
respiratory syndrome coronavirus
intensive care unit
world health organization
polymerase chain reaction
respiratory distress syndrome
acute respiratory distress
personal protective equipment
body mass index
critically ill patients
health care workers
novel coronavirus disease
middle east respiratory
east respiratory syndrome
randomized controlled trials
contains supplementary material
respiratory syncytial virus
central nervous system
public health emergency
logistic regression analysis
acute ischemic stroke
retrospective cohort study
intensive care units
2019 novel coronavirus
respiratory syndrome coronavirus-2
magnetic resonance imaging
acute kidney injury
respiratory tract infections
lower respiratory tract
current covid-19 pandemic
extracorporeal membrane oxygenation
receiver operating characteristic
health care system
upper respiratory tract
chronic obstructive pulmonary
modified rankin scale
invasive mechanical ventilation
obstructive pulmonary disease
electronic supplementary material
new york city
multivariate logistic regression
global public health
randomized controlled trial
health care providers
multivariable logistic regression
statistically significant difference
chronic kidney disease
public health measures
health care professionals
corona virus disease
adjusted odds ratio
mouse hepatitis virus
traditional chinese medicine
respiratory tract infection
mental health problems
reverse transcription polymerase
social distancing measures
transcription polymerase chain
chest computed tomography
per 100 000
enzyme-linked immunosorbent assay
human immunodeficiency virus
health care systems
preferred reporting items
main outcome measures
randomised controlled trials
statistically significant differences
acute lung injury
public health crisis
infectious bronchitis virus
hospitalized covid-19 patients
acute respiratory failure
risk factors associated
mental health services
psycinfo database record
white blood cell
reverse transcription-polymerase chain
estimated blood loss
transcription-polymerase chain reaction
prospective cohort study
case fatality rate
minimally invasive surgery
independent risk factors
infection control measures
however users may
original published version
express written permission
may print download
permission however users
users may print
written permission however
logistic regression models
ongoing covid-19 pandemic
disease 2019 pandemic
online version contains
multisystem inflammatory syndrome
supplementary material available
version contains supplementary
public health emergencies
virus disease 2019
mean operative time
positive predictive value
innate immune response
internal carotid artery
middle cerebral artery
reactive oxygen species
angiotensin converting enzyme
inflammatory bowel disease
basic reproduction number
logistic regression model
negative predictive value
roux-en-y gastric bypass
serious adverse events
operating characteristic curve
prospective observational study
novel coronavirus pneumonia
coronary artery disease
confirmed covid-19 cases
renal replacement therapy
real-time polymerase chain
rna-dependent rna polymerase
retrospective observational study
emerging infectious diseases
severe coronavirus disease
public health interventions
severe covid-19 patients
receptor binding domain
ill covid-19 patients
novel coronavirus sars-cov-2
cochrane central register
since december 2019
mental health care
critically ill covid-19
major public health
present study aimed
social media platforms
health stroke scale
inguinal hernia repair
laparoscopic sleeve gastrectomy
secondary outcomes included
novel severe acute
propensity score matching
retrospective chart review
sars-cov-2 spike protein
met inclusion criteria
tumor necrosis factor
public health concern
care unit admission
independent risk factor
covid-19 positive patients
public health problem
logistic regression analyses
transcriptase polymerase chain
pipeline embolization device
respiratory viral infections
porcine epidemic diarrhea
positive airway pressure
reverse transcriptase polymerase
convolutional neural network
randomized clinical trials
infectious disease outbreaks
percutaneous coronary intervention
regression analysis showed
reverse transcriptase-polymerase chain
observational cohort study
systematic literature review
among healthcare workers
transmissible gastroenteritis virus
transcriptase-polymerase chain reaction
among covid-19 patients
deep vein thrombosis
electronic medical records
prospero registration number
covid-19 patients admitted
high mortality rate
open reading frame
postoperative hospital stay
blood cell count
binary logistic regression
global covid-19 pandemic
post-traumatic stress disorder
glomerular filtration rate
systolic blood pressure
infectious disease caused
mental health outcomes
positive end-expiratory pressure
nucleic acid test
severe covid-19 infection
global health crisis
multiple linear regression
host immune response
visual analog scale
feline infectious peritonitis
squamous cell carcinoma
covid-19 pandemic caused
academic medical center
mesenchymal stem cells
single-incision laparoscopic surgery
trial registration number
acute respiratory infection
herpes simplex virus
public health response
randomized clinical trial
acute coronary syndrome
cox proportional hazards
hubei province china
molecular dynamics simulations
peripheral blood mononuclear
respiratory syndrome virus
stem cell transplantation
systematic literature search
electronic health records
systematic review registration
trial registration clinicaltrials.gov
mental health issues
potential risk factors
sustainable development goals
blood mononuclear cells
health care services
epidemic diarrhea virus
innate immune system
institutional review board
neonatal intensive care
2019 coronavirus disease
nucleic acid amplification
requiring mechanical ventilation
national health service
mean arterial pressure
severe covid-19 pneumonia
two independent reviewers
intraoperative blood loss
rankin scale score
acute myocardial infarction
coronary artery bypass
electronic health record
spinal cord injury
multiple organ failure
innate immune responses
clinical trial registration
west nile virus
adaptive immune responses
confirmed covid-19 patients
emerging infectious disease
mechanically ventilated patients
pediatric intensive care
required mechanical ventilation
wuhan hubei province
large vessel occlusion
traumatic brain injury
influenza virus infection
natural language processing
cell lung cancer
linear regression analysis
ventral hernia repair
ebola virus disease
confirmed sars-cov-2 infection
novel corona virus
acute respiratory infections
coronary heart disease
randomised controlled trial
primary end point
public health officials
congenital heart disease
visual analogue scale
global health emergency
systemic inflammatory response
continuous positive airway
principal component analysis
primary outcome measure
transmission electron microscopy
ground glass opacities
kidney transplant recipients
among older adults
cardiovascular risk factors
generalized anxiety disorder
tertiary care hospital
cytokine release syndrome
experimental results show
scanning electron microscopy
non-small cell lung
amino acid residues
electronic medical record
primary health care
public health authorities
recommendations assessment development
interstitial lung disease
major histocompatibility complex
mental health status
tissue plasminogen activator
hypoxemic respiratory failure
vesicular stomatitis virus
organ failure assessment
cox regression analysis
diffuse alveolar damage
excess weight loss
last two decades
systemic lupus erythematosus
lymph node dissection
structural equation modeling
differentially expressed genes
disseminated intravascular coagulation
hematopoietic stem cell
results one hundred
acute respiratory disease
health care delivery
public health system
identify risk factors
severe covid-19 disease
support vector machine
confirmed covid-19 infection
low molecular weight
sequential organ failure
bronchoalveolar lavage fluid
chronic liver disease
machine learning algorithms
covid-19 pandemic may
cerebral blood flow
clinical trials registry
nucleic acid detection
emerald publishing limited
multiple logistic regression
among health care
health care personnel
machine learning models
red blood cell
major depressive disorder
acute respiratory syndrome-coronavirus-2
posttraumatic stress disorder
red blood cells
estimated glomerular filtration
mean hospital stay
open reading frames
acute respiratory illness
causes coronavirus disease
novel coronavirus infection
breast cancer patients
sars-cov-2 main protease
chest x-ray images
solid organ transplant
"coronavirus" disease 2019
perceived social support
real-time reverse transcription
world health organisation
erythrocyte sedimentation rate
health organization declared
renal cell carcinoma
adaptive immune response
amino acid sequence
covid-19 global pandemic
health care facilities
viral respiratory infections
adjusted hazard ratio
convolutional neural networks
play important roles
current coronavirus disease
identify factors associated
new coronavirus disease
ongoing clinical trials
past two decades
emergency medical services
emergency use authorization
two reviewers independently
mental health symptoms
congestive heart failure
angiotensin-converting enzyme inhibitors
mental health conditions
mean body mass
cross-sectional online survey
molecular dynamics simulation
obstructive sleep apnea
optical coherence tomography
public health surveillance
public health threat
pathogenic avian influenza
public health policies
recent covid-19 pandemic
secondary outcome measures
social media use
symptomatic intracranial hemorrhage
avian influenza virus
patient health questionnaire
sars-cov-2 nucleic acid
tertiary care center
acute respiratory tract
public health policy
using logistic regression
review registration prospero
among pregnant women
angiotensin receptor blockers
effective reproduction number
cellular immune responses
chronic lung disease
opioid use disorder
substance use disorders
endothelial growth factor
mental health disorders
requiring intensive care
retrospective case series
viral nucleic acid
loop-mediated isothermal amplification
sickle cell disease
video-assisted thoracoscopic surgery
deep learning model
public health agencies
public health issue
epidermal growth factor
new coronavirus infection
new york state
highly pathogenic avian
national health commission
cox proportional hazard
root mean square
low back pain
perceived stress scale
prospectively collected data
quantitative polymerase chain
natural orifice transluminal
advance care planning
convalescent plasma therapy
nursing home residents
reverse-transcription polymerase chain
