
possible seizers	['[]']	possible seizures	Changed	{'Same- Token Exists in English Vocabulary [possible]', 'Corrected- Using Customized Lookup-Table [seizers ==> seizures]'}
burst ovarian cysts	[]	burst ovarian cysts	Same	{'Same- Token Exists in English Vocabulary [burst]', 'Same- Token Exists in English Vocabulary [ovarian]', 'Same- Token Exists in English Vocabulary [cysts]'}
discomfort from measles	[]	discomfort from measles	Same	{'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [measles]'}
sore on buttocks	[]	sore on buttocks	Same	{'Same- Token Exists in English Vocabulary [sore]', 'Same- Token Exists in English Vocabulary [buttocks]', 'Same- Token Exists in English Vocabulary [on]'}
tear duct issue	[]	tear duct issue	Same	{'Same- Token Exists in English Vocabulary [tear]', 'Same- Token Exists in English Vocabulary [duct]', 'Same- Token Exists in English Vocabulary [issue]'}
ear infecrtion	['[]']	ear infection	Changed	{'Corrected- Using Customized Lookup-Table [infecrtion ==> infection]', 'Same- Token Exists in English Vocabulary [ear]'}
thrush on mother's nipples	[]	thrush on mother s nipples	Same	{'Same- Token Exists in English Vocabulary [thrush]', 'Same- Token Exists in English Vocabulary [nipples]', 'Same- Token Exists in English Vocabulary [mother]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [s]'}
hayfever symptoms	[]	hayfever symptoms	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [hayfever]', 'Same- Token Exists in English Vocabulary [symptoms]'}
pain after child birth	[]	pain after child birth	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [birth]', 'Same- Token Exists in English Vocabulary [after]', 'Same- Token Exists in English Vocabulary [child]'}
ear infection or strep	[]	ear infection or strep	Same	{'Same- Token Exists in English Vocabulary [or]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [ear]', 'Same- Token Exists in English Vocabulary [strep]'}
eczema on skin	[]	eczema on skin	Same	{'Same- Token Exists in English Vocabulary [eczema]', 'Same- Token Exists in English Vocabulary [skin]', 'Same- Token Exists in English Vocabulary [on]'}
rash on nose	[]	rash on nose	Same	{'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [rash]', 'Same- Token Exists in English Vocabulary [nose]'}
discomfort from vaccinations	[]	discomfort from vaccinations	Same	{'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [vaccinations]'}
caps put on molars	[]	caps put on molars	Same	{'Same- Token Exists in English Vocabulary [caps]', 'Same- Token Exists in English Vocabulary [molars]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [put]'}
wheeze druing cold	['[]']	wheeze during cold	Changed	{'Corrected- Using Customized Lookup-Table [druing ==> during]', 'Same- Token Exists in English Vocabulary [cold]', 'Same- Token Exists in English Vocabulary [wheeze]'}
thight chest due to anxiety	['[]']	tight chest due to anxiety	Changed	{'Same- Token Exists in English Vocabulary [due]', 'Same- Token Exists in English Vocabulary [to]', 'Same- Token Exists in English Vocabulary [chest]', 'Same- Token Exists in English Vocabulary [anxiety]', 'Corrected- Using Customized Lookup-Table [thight ==> tight]'}
sick with cold	[]	sick with cold	Same	{'Same- Token Exists in English Vocabulary [with]', 'Same- Token Exists in English Vocabulary [cold]', 'Same- Token Exists in English Vocabulary [sick]'}
suspect throat infection	[]	suspect throat infection	Same	{'Same- Token Exists in English Vocabulary [throat]', 'Same- Token Exists in English Vocabulary [infection]', 'Same- Token Exists in English Vocabulary [suspect]'}
cancer as a child	[]	cancer as a child	Same	{'Same- Token Exists in English Vocabulary [as]', 'Same- Token Exists in English Vocabulary [a]', 'Same- Token Exists in English Vocabulary [child]', 'Same- Token Exists in English Vocabulary [cancer]'}
sepsis work up	[]	sepsis work up	Same	{'Same- Token Exists in English Vocabulary [sepsis]', 'Same- Token Exists in English Vocabulary [up]', 'Same- Token Exists in English Vocabulary [work]'}
back and muscle pain	[]	back and muscle pain	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [muscle]', 'Same- Token Exists in English Vocabulary [back]'}
skin infection at c-section site	[]	skin infection at c-section site	Same	{'Same- Token Exists in English Vocabulary [at]', 'Same- Token Exists in English Vocabulary [skin]', 'Same- Token Exists in English Vocabulary [c-section]', 'Same- Token Exists in English Vocabulary [site]', 'Same- Token Exists in English Vocabulary [infection]'}
discomfort from vacciantions	['[]']	discomfort from vaccinations	Changed	{'Same- Token Exists in English Vocabulary [discomfort]', 'Same- Token Exists in English Vocabulary [from]', 'Corrected- Using Customized Lookup-Table [vacciantions ==> vaccinations]'}
pain relief from c-section	[]	pain relief from c-section	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [c-section]', 'Same- Token Exists in English Vocabulary [relief]'}
prevent pneumonia	[]	prevent pneumonia	Same	{'Same- Token Exists in English Vocabulary [prevent]', 'Same- Token Exists in English Vocabulary [pneumonia]'}
pain from chest infection	[]	pain from chest infection	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [from]', 'Same- Token Exists in English Vocabulary [chest]', 'Same- Token Exists in English Vocabulary [infection]'}
chronic headaches	[]	chronic headaches	Same	{'Same- Token Exists in English Vocabulary [chronic]', 'Same- Token Exists in English Vocabulary [headaches]'}
skin rash at umbilicus	[]	skin rash at umbilicus	Same	{'Same- Token Exists in English Vocabulary [at]', 'Same- Token Exists in English Vocabulary [skin]', 'Same- Token Exists in English Vocabulary [rash]', 'Same- Token Exists in English Vocabulary [umbilicus]'}
pulled tooth	[]	pulled tooth	Same	{'Same- Token Exists in Domain-Specific Terminological-Corpus [pulled]', 'Same- Token Exists in English Vocabulary [tooth]'}
sinus and chest congestion	[]	sinus and chest congestion	Same	{'Same- Token Exists in English Vocabulary [sinus]', 'Same- Token Exists in English Vocabulary [congestion]', 'Same- Token Exists in English Vocabulary [and]', 'Same- Token Exists in English Vocabulary [chest]'}
ear red	[]	ear red	Same	{'Same- Token Exists in English Vocabulary [ear]', 'Same- Token Exists in English Vocabulary [red]'}
bit by another child	[]	bit by another child	Same	{'Same- Token Exists in English Vocabulary [another]', 'Same- Token Exists in English Vocabulary [child]', 'Same- Token Exists in English Vocabulary [bit]', 'Same- Token Exists in English Vocabulary [by]'}
wrist rash	[]	wrist rash	Same	{'Same- Token Exists in English Vocabulary [wrist]', 'Same- Token Exists in English Vocabulary [rash]'}
rash on arm	[]	rash on arm	Same	{'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [arm]', 'Same- Token Exists in English Vocabulary [rash]'}
respiratory problems at birth	[]	respiratory problems at birth	Same	{'Same- Token Exists in English Vocabulary [at]', 'Same- Token Exists in English Vocabulary [birth]', 'Same- Token Exists in English Vocabulary [problems]', 'Same- Token Exists in English Vocabulary [respiratory]'}
small fungus spot on arm	[]	small fungus spot on arm	Same	{'Same- Token Exists in English Vocabulary [spot]', 'Same- Token Exists in English Vocabulary [fungus]', 'Same- Token Exists in English Vocabulary [small]', 'Same- Token Exists in English Vocabulary [arm]', 'Same- Token Exists in English Vocabulary [on]'}
given in hospital for croup	[]	given in hospital for croup	Same	{'Same- Token Exists in English Vocabulary [given]', 'Same- Token Exists in English Vocabulary [croup]', 'Same- Token Exists in English Vocabulary [in]', 'Same- Token Exists in English Vocabulary [for]', 'Same- Token Exists in English Vocabulary [hospital]'}
body pain	[]	body pain	Same	{'Same- Token Exists in English Vocabulary [pain]', 'Same- Token Exists in English Vocabulary [body]'}
burn on finger	[]	burn on finger	Same	{'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [finger]', 'Same- Token Exists in English Vocabulary [burn]'}
to clear infections	[]	to clear infections	Same	{'Same- Token Exists in English Vocabulary [clear]', 'Same- Token Exists in English Vocabulary [infections]', 'Same- Token Exists in English Vocabulary [to]'}
freezing for staples for cut on skull	[]	freezing for staples for cut on skull	Same	{'Same- Token Exists in English Vocabulary [skull]', 'Same- Token Exists in English Vocabulary [cut]', 'Same- Token Exists in English Vocabulary [for]', 'Same- Token Exists in English Vocabulary [freezing]', 'Same- Token Exists in English Vocabulary [on]', 'Same- Token Exists in English Vocabulary [staples]'}
infant oral thrush	[]	infant oral thrush	Same	{'Same- Token Exists in English Vocabulary [thrush]', 'Same- Token Exists in English Vocabulary [infant]', 'Same- Token Exists in English Vocabulary [oral]'}
excessive coughing	[]	excessive coughing	Same	{'Same- Token Exists in English Vocabulary [coughing]', 'Same- Token Exists in English Vocabulary [excessive]'}
to keep lungs clear	[]	to keep lungs clear	Same	{'Same- Token Exists in English Vocabulary [lungs]', 'Same- Token Exists in English Vocabulary [clear]', 'Same- Token Exists in English Vocabulary [keep]', 'Same- Token Exists in English Vocabulary [to]'}
